Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,127,ATL,Malliciah Goodman,DE,23,2016,0,0,1,5,5,37,0,0,0,0,0,0,0,0,0,0,0,12,,,Clemson,College Stats
4,128,SFO,Quinton Patton,WR,23,2016,0,0,1,7,7,40,0,0,0,0,0,3,51,0,73,880,1,2,,,Louisiana Tech,College Stats
4,129,BAL,John Simon,DE,22,2020,0,0,4,26,1,93,0,0,0,0,0,0,0,0,0,0,0,171,2,21,Ohio St.,College Stats
4,130,BAL,Kyle Juszczyk,RB,22,2020,0,4,7,13,5,118,0,0,0,0,0,37,147,3,193,1795,9,12,,,Harvard,
4,131,SFO,Marcus Lattimore,RB,21,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,College Stats
4,132,DET,Devin Taylor,DE,23,2017,0,0,1,12,12,63,0,0,0,0,0,0,0,0,0,0,0,69,,15,South Carolina,College Stats
4,133,ATL,Levine Toilolo,TE,22,2020,0,0,5,8,6,120,0,0,0,0,0,0,0,0,100,1018,8,7,,,Stanford,College Stats
5,134,KAN,Sanders Commings,DB,23,2014,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia,College Stats
5,135,JAX,Denard Robinson,WR,22,2016,0,0,1,8,8,55,0,2,0,0,0,263,1058,5,47,310,0,8,,,Michigan,College Stats
5,136,PHI,Earl Wolff,DB,23,2014,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,43,1,,North Carolina St.,College Stats
5,137,SEA,Jesse Williams,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
5,138,SEA,Tharold Simon,DB,22,2016,0,0,0,3,2,20,0,0,0,0,0,0,0,0,0,0,0,15,1,,LSU,College Stats
5,139,IND,Montori Hughes,DT,23,2016,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,15,,,UT Martin,
5,140,ARI,Stepfan Taylor,RB,22,2016,0,0,0,3,3,61,0,0,0,0,0,120,393,1,20,154,3,12,,,Stanford,College Stats
